SALE_DATE,CATEGORY,SUBCATEGORY,SALES
1995-01-10,PRO EDITION,PRO ADMIN,6.304088176
1995-01-10,PRO EDITION,PRO DEVELOPER,10.506813627
1995-01-10,PRO EDITION,PRO CONSUMER,4.202725451
1995-01-10,ENTERPRISE,ENTERPRISE ADMIN,6.59242485
1995-01-10,ENTERPRISE,ENTERPRISE DEVELOPER,8.7898998
1995-01-10,ENTERPRISE,ENTERPRISE COLLABORATOR,4.3949499
1995-01-10,ENTERPRISE,ENTERPRISE CONSUMER,2.19747495
1995-01-11,PRO EDITION,PRO ADMIN,14.661342685
1995-01-11,PRO EDITION,PRO DEVELOPER,24.435571142
1995-01-11,PRO EDITION,PRO CONSUMER,9.774228457
1995-01-11,ENTERPRISE,ENTERPRISE ADMIN,15.331923848
1995-01-11,ENTERPRISE,ENTERPRISE DEVELOPER,20.44256513
1995-01-11,ENTERPRISE,ENTERPRISE COLLABORATOR,10.221282565
1995-01-11,ENTERPRISE,ENTERPRISE CONSUMER,5.110641283
1995-01-12,PRO EDITION,PRO ADMIN,17.871222445
1995-01-12,PRO EDITION,PRO DEVELOPER,29.785370741
1995-01-12,PRO EDITION,PRO CONSUMER,11.914148297
1995-01-12,ENTERPRISE,ENTERPRISE ADMIN,18.688617234
1995-01-12,ENTERPRISE,ENTERPRISE DEVELOPER,24.918156313
1995-01-12,ENTERPRISE,ENTERPRISE COLLABORATOR,12.459078156
1995-01-12,ENTERPRISE,ENTERPRISE CONSUMER,6.229539078
1995-01-13,PRO EDITION,PRO ADMIN,15.557795591
1995-01-13,PRO EDITION,PRO DEVELOPER,25.929659319
1995-01-13,PRO EDITION,PRO CONSUMER,10.371863727
1995-01-13,ENTERPRISE,ENTERPRISE ADMIN,16.269378758
1995-01-13,ENTERPRISE,ENTERPRISE DEVELOPER,21.69250501
1995-01-13,ENTERPRISE,ENTERPRISE COLLABORATOR,10.846252505
1995-01-13,ENTERPRISE,ENTERPRISE CONSUMER,5.423126253
1995-01-14,PRO EDITION,PRO ADMIN,20.734088176
1995-01-14,PRO EDITION,PRO DEVELOPER,34.556813627
1995-01-14,PRO EDITION,PRO CONSUMER,13.822725451
1995-01-14,ENTERPRISE,ENTERPRISE ADMIN,21.68242485
1995-01-14,ENTERPRISE,ENTERPRISE DEVELOPER,28.9098998
1995-01-14,ENTERPRISE,ENTERPRISE COLLABORATOR,14.4549499
1995-01-14,ENTERPRISE,ENTERPRISE CONSUMER,7.22747495
1995-01-15,PRO EDITION,PRO ADMIN,20.44490982
1995-01-15,PRO EDITION,PRO DEVELOPER,34.074849699
1995-01-15,PRO EDITION,PRO CONSUMER,13.62993988
1995-01-15,ENTERPRISE,ENTERPRISE ADMIN,21.38002004
1995-01-15,ENTERPRISE,ENTERPRISE DEVELOPER,28.506693387
1995-01-15,ENTERPRISE,ENTERPRISE COLLABORATOR,14.253346693
1995-01-15,ENTERPRISE,ENTERPRISE CONSUMER,7.126673347
1995-01-16,PRO EDITION,PRO ADMIN,9.398296593
1995-01-16,PRO EDITION,PRO DEVELOPER,15.663827655
1995-01-16,PRO EDITION,PRO CONSUMER,6.265531062
1995-01-16,ENTERPRISE,ENTERPRISE ADMIN,9.828156313
1995-01-16,ENTERPRISE,ENTERPRISE DEVELOPER,13.104208417
1995-01-16,ENTERPRISE,ENTERPRISE COLLABORATOR,6.552104208
1995-01-16,ENTERPRISE,ENTERPRISE CONSUMER,3.276052104
1995-01-17,PRO EDITION,PRO ADMIN,10.323667335
1995-01-17,PRO EDITION,PRO DEVELOPER,17.206112224
1995-01-17,PRO EDITION,PRO CONSUMER,6.88244489
1995-01-17,ENTERPRISE,ENTERPRISE ADMIN,10.795851703
1995-01-17,ENTERPRISE,ENTERPRISE DEVELOPER,14.394468938
1995-01-17,ENTERPRISE,ENTERPRISE COLLABORATOR,7.197234469
1995-01-17,ENTERPRISE,ENTERPRISE CONSUMER,3.598617234
1995-01-18,PRO EDITION,PRO ADMIN,8.299418838
1995-01-18,PRO EDITION,PRO DEVELOPER,13.832364729
1995-01-18,PRO EDITION,PRO CONSUMER,5.532945892
1995-01-18,ENTERPRISE,ENTERPRISE ADMIN,8.679018036
1995-01-18,ENTERPRISE,ENTERPRISE DEVELOPER,11.572024048
1995-01-18,ENTERPRISE,ENTERPRISE COLLABORATOR,5.786012024
1995-01-18,ENTERPRISE,ENTERPRISE CONSUMER,2.893006012
1995-01-19,PRO EDITION,PRO ADMIN,21.717294589
1995-01-19,PRO EDITION,PRO DEVELOPER,36.195490982
1995-01-19,PRO EDITION,PRO CONSUMER,14.478196393
1995-01-19,ENTERPRISE,ENTERPRISE ADMIN,22.710601202
1995-01-19,ENTERPRISE,ENTERPRISE DEVELOPER,30.280801603
1995-01-19,ENTERPRISE,ENTERPRISE COLLABORATOR,15.140400802
1995-01-19,ENTERPRISE,ENTERPRISE CONSUMER,7.570200401
1995-01-20,PRO EDITION,PRO ADMIN,25.910380762
1995-01-20,PRO EDITION,PRO DEVELOPER,43.183967936
1995-01-20,PRO EDITION,PRO CONSUMER,17.273587174
1995-01-20,ENTERPRISE,ENTERPRISE ADMIN,27.095470942
1995-01-20,ENTERPRISE,ENTERPRISE DEVELOPER,36.127294589
1995-01-20,ENTERPRISE,ENTERPRISE COLLABORATOR,18.063647295
1995-01-20,ENTERPRISE,ENTERPRISE CONSUMER,9.031823647
1995-01-21,PRO EDITION,PRO ADMIN,23.741543086
1995-01-21,PRO EDITION,PRO DEVELOPER,39.569238477
1995-01-21,PRO EDITION,PRO CONSUMER,15.827695391
1995-01-21,ENTERPRISE,ENTERPRISE ADMIN,24.82743487
1995-01-21,ENTERPRISE,ENTERPRISE DEVELOPER,33.103246493
1995-01-21,ENTERPRISE,ENTERPRISE COLLABORATOR,16.551623246
1995-01-21,ENTERPRISE,ENTERPRISE CONSUMER,8.275811623
1995-01-22,PRO EDITION,PRO ADMIN,11.971983968
1995-01-22,PRO EDITION,PRO DEVELOPER,19.953306613
1995-01-22,PRO EDITION,PRO CONSUMER,7.981322645
1995-01-22,ENTERPRISE,ENTERPRISE ADMIN,12.519559118
1995-01-22,ENTERPRISE,ENTERPRISE DEVELOPER,16.692745491
1995-01-22,ENTERPRISE,ENTERPRISE COLLABORATOR,8.346372745
1995-01-22,ENTERPRISE,ENTERPRISE CONSUMER,4.173186373
1995-01-23,PRO EDITION,PRO ADMIN,4.193086172
1995-01-23,PRO EDITION,PRO DEVELOPER,6.988476954
1995-01-23,PRO EDITION,PRO CONSUMER,2.795390782
1995-01-23,ENTERPRISE,ENTERPRISE ADMIN,4.384869739
1995-01-23,ENTERPRISE,ENTERPRISE DEVELOPER,5.846492986
1995-01-23,ENTERPRISE,ENTERPRISE COLLABORATOR,2.923246493
1995-01-23,ENTERPRISE,ENTERPRISE CONSUMER,1.461623246
1995-01-24,PRO EDITION,PRO ADMIN,14.43
1995-01-24,PRO EDITION,PRO DEVELOPER,24.05
1995-01-24,PRO EDITION,PRO CONSUMER,9.62
1995-01-24,ENTERPRISE,ENTERPRISE ADMIN,15.09
1995-01-24,ENTERPRISE,ENTERPRISE DEVELOPER,20.12
1995-01-24,ENTERPRISE,ENTERPRISE COLLABORATOR,10.06
1995-01-24,ENTERPRISE,ENTERPRISE CONSUMER,5.03
1995-01-25,PRO EDITION,PRO ADMIN,17.63987976
1995-01-25,PRO EDITION,PRO DEVELOPER,29.399799599
1995-01-25,PRO EDITION,PRO CONSUMER,11.75991984
1995-01-25,ENTERPRISE,ENTERPRISE ADMIN,18.446693387
1995-01-25,ENTERPRISE,ENTERPRISE DEVELOPER,24.595591182
1995-01-25,ENTERPRISE,ENTERPRISE COLLABORATOR,12.297795591
1995-01-25,ENTERPRISE,ENTERPRISE CONSUMER,6.148897796
1995-01-26,PRO EDITION,PRO ADMIN,24.956092184
1995-01-26,PRO EDITION,PRO DEVELOPER,41.593486974
1995-01-26,PRO EDITION,PRO CONSUMER,16.63739479
1995-01-26,ENTERPRISE,ENTERPRISE ADMIN,26.09753507
1995-01-26,ENTERPRISE,ENTERPRISE DEVELOPER,34.796713427
1995-01-26,ENTERPRISE,ENTERPRISE COLLABORATOR,17.398356713
1995-01-26,ENTERPRISE,ENTERPRISE CONSUMER,8.699178357
1995-01-27,PRO EDITION,PRO ADMIN,8.183747495
1995-01-27,PRO EDITION,PRO DEVELOPER,13.639579158
1995-01-27,PRO EDITION,PRO CONSUMER,5.455831663
1995-01-27,ENTERPRISE,ENTERPRISE ADMIN,8.558056112
1995-01-27,ENTERPRISE,ENTERPRISE DEVELOPER,11.410741483
1995-01-27,ENTERPRISE,ENTERPRISE COLLABORATOR,5.705370741
1995-01-27,ENTERPRISE,ENTERPRISE CONSUMER,2.852685371
1995-01-28,PRO EDITION,PRO ADMIN,15.615631263
1995-01-28,PRO EDITION,PRO DEVELOPER,26.026052104
1995-01-28,PRO EDITION,PRO CONSUMER,10.410420842
1995-01-28,ENTERPRISE,ENTERPRISE ADMIN,16.329859719
1995-01-28,ENTERPRISE,ENTERPRISE DEVELOPER,21.773146293
1995-01-28,ENTERPRISE,ENTERPRISE COLLABORATOR,10.886573146
1995-01-28,ENTERPRISE,ENTERPRISE CONSUMER,5.443286573
1995-01-29,PRO EDITION,PRO ADMIN,14.372164329
1995-01-29,PRO EDITION,PRO DEVELOPER,23.953607214
1995-01-29,PRO EDITION,PRO CONSUMER,9.581442886
1995-01-29,ENTERPRISE,ENTERPRISE ADMIN,15.029519038
1995-01-29,ENTERPRISE,ENTERPRISE DEVELOPER,20.039358717
1995-01-29,ENTERPRISE,ENTERPRISE COLLABORATOR,10.019679359
1995-01-29,ENTERPRISE,ENTERPRISE CONSUMER,5.009839679
1995-01-30,PRO EDITION,PRO ADMIN,7.807815631
1995-01-30,PRO EDITION,PRO DEVELOPER,13.013026052
1995-01-30,PRO EDITION,PRO CONSUMER,5.205210421
1995-01-30,ENTERPRISE,ENTERPRISE ADMIN,8.16492986
1995-01-30,ENTERPRISE,ENTERPRISE DEVELOPER,10.886573146
1995-01-30,ENTERPRISE,ENTERPRISE COLLABORATOR,5.443286573
1995-01-30,ENTERPRISE,ENTERPRISE CONSUMER,2.721643287
1995-01-31,PRO EDITION,PRO ADMIN,17.23503006
1995-01-31,PRO EDITION,PRO DEVELOPER,28.7250501
1995-01-31,PRO EDITION,PRO CONSUMER,11.49002004
1995-01-31,ENTERPRISE,ENTERPRISE ADMIN,18.023326653
1995-01-31,ENTERPRISE,ENTERPRISE DEVELOPER,24.031102204
1995-01-31,ENTERPRISE,ENTERPRISE COLLABORATOR,12.015551102
1995-01-31,ENTERPRISE,ENTERPRISE CONSUMER,6.007775551
1995-02-01,PRO EDITION,PRO ADMIN,22.623316784
1995-02-01,PRO EDITION,PRO DEVELOPER,37.705527973
1995-02-01,PRO EDITION,PRO CONSUMER,15.082211189
1995-02-01,ENTERPRISE,ENTERPRISE ADMIN,24.884033664
1995-02-01,ENTERPRISE,ENTERPRISE DEVELOPER,33.178711552
1995-02-01,ENTERPRISE,ENTERPRISE COLLABORATOR,16.589355776
1995-02-01,ENTERPRISE,ENTERPRISE CONSUMER,8.294677888
1995-02-02,PRO EDITION,PRO ADMIN,19.594998789
1995-02-02,PRO EDITION,PRO DEVELOPER,32.658331315
1995-02-02,PRO EDITION,PRO CONSUMER,13.063332526
1995-02-02,ENTERPRISE,ENTERPRISE ADMIN,21.553100024
1995-02-02,ENTERPRISE,ENTERPRISE DEVELOPER,28.737466699
1995-02-02,ENTERPRISE,ENTERPRISE COLLABORATOR,14.368733349
1995-02-02,ENTERPRISE,ENTERPRISE CONSUMER,7.184366675
1995-02-03,PRO EDITION,PRO ADMIN,10.255564301
1995-02-03,PRO EDITION,PRO DEVELOPER,17.092607169
1995-02-03,PRO EDITION,PRO CONSUMER,6.837042868
1995-02-03,ENTERPRISE,ENTERPRISE ADMIN,11.280388714
1995-02-03,ENTERPRISE,ENTERPRISE DEVELOPER,15.040518285
1995-02-03,ENTERPRISE,ENTERPRISE COLLABORATOR,7.520259143
1995-02-03,ENTERPRISE,ENTERPRISE CONSUMER,3.760129571
1995-02-04,PRO EDITION,PRO ADMIN,23.895719302
1995-02-04,PRO EDITION,PRO DEVELOPER,39.826198837
1995-02-04,PRO EDITION,PRO CONSUMER,15.930479535
1995-02-04,ENTERPRISE,ENTERPRISE ADMIN,26.283585614
1995-02-04,ENTERPRISE,ENTERPRISE DEVELOPER,35.044780819
1995-02-04,ENTERPRISE,ENTERPRISE COLLABORATOR,17.522390409
1995-02-04,ENTERPRISE,ENTERPRISE CONSUMER,8.761195205
1995-02-05,PRO EDITION,PRO ADMIN,11.375278518
1995-02-05,PRO EDITION,PRO DEVELOPER,18.95879753
1995-02-05,PRO EDITION,PRO CONSUMER,7.583519012
1995-02-05,ENTERPRISE,ENTERPRISE ADMIN,12.51199443
1995-02-05,ENTERPRISE,ENTERPRISE DEVELOPER,16.68265924
1995-02-05,ENTERPRISE,ENTERPRISE COLLABORATOR,8.34132962
1995-02-05,ENTERPRISE,ENTERPRISE CONSUMER,4.17066481
1995-02-06,PRO EDITION,PRO ADMIN,10.86631751
1995-02-06,PRO EDITION,PRO DEVELOPER,18.110529184
1995-02-06,PRO EDITION,PRO CONSUMER,7.244211674
1995-02-06,ENTERPRISE,ENTERPRISE ADMIN,11.95217365
1995-02-06,ENTERPRISE,ENTERPRISE DEVELOPER,15.936231533
1995-02-06,ENTERPRISE,ENTERPRISE COLLABORATOR,7.968115767
1995-02-06,ENTERPRISE,ENTERPRISE CONSUMER,3.984057883
1995-02-07,PRO EDITION,PRO ADMIN,10.586388956
1995-02-07,PRO EDITION,PRO DEVELOPER,17.643981594
1995-02-07,PRO EDITION,PRO CONSUMER,7.057592637
1995-02-07,ENTERPRISE,ENTERPRISE ADMIN,11.644272221
1995-02-07,ENTERPRISE,ENTERPRISE DEVELOPER,15.525696295
1995-02-07,ENTERPRISE,ENTERPRISE COLLABORATOR,7.762848147
1995-02-07,ENTERPRISE,ENTERPRISE CONSUMER,3.881424074
1995-02-08,PRO EDITION,PRO ADMIN,3.944447808
1995-02-08,PRO EDITION,PRO DEVELOPER,6.57407968
1995-02-08,PRO EDITION,PRO CONSUMER,2.629631872
1995-02-08,ENTERPRISE,ENTERPRISE ADMIN,4.338611044
1995-02-08,ENTERPRISE,ENTERPRISE DEVELOPER,5.784814725
1995-02-08,ENTERPRISE,ENTERPRISE COLLABORATOR,2.892407363
1995-02-08,ENTERPRISE,ENTERPRISE CONSUMER,1.446203681
1995-02-09,PRO EDITION,PRO ADMIN,0.2290324534
1995-02-09,PRO EDITION,PRO DEVELOPER,0.3817207556
1995-02-09,PRO EDITION,PRO CONSUMER,0.1526883023
1995-02-09,ENTERPRISE,ENTERPRISE ADMIN,0.2519193509
1995-02-09,ENTERPRISE,ENTERPRISE DEVELOPER,0.3358924679
1995-02-09,ENTERPRISE,ENTERPRISE COLLABORATOR,0.167946234
1995-02-09,ENTERPRISE,ENTERPRISE CONSUMER,0.08397311698
1995-02-10,PRO EDITION,PRO ADMIN,17.864531364
1995-02-10,PRO EDITION,PRO DEVELOPER,29.774218939
1995-02-10,PRO EDITION,PRO CONSUMER,11.909687576
1995-02-10,ENTERPRISE,ENTERPRISE ADMIN,19.649709373
1995-02-10,ENTERPRISE,ENTERPRISE DEVELOPER,26.199612497
1995-02-10,ENTERPRISE,ENTERPRISE COLLABORATOR,13.099806248
1995-02-10,ENTERPRISE,ENTERPRISE CONSUMER,6.549903124
1995-02-11,PRO EDITION,PRO ADMIN,13.767395253
1995-02-11,PRO EDITION,PRO DEVELOPER,22.945658755
1995-02-11,PRO EDITION,PRO CONSUMER,9.178263502
1995-02-11,ENTERPRISE,ENTERPRISE ADMIN,15.143152095
1995-02-11,ENTERPRISE,ENTERPRISE DEVELOPER,20.19086946
1995-02-11,ENTERPRISE,ENTERPRISE COLLABORATOR,10.09543473
1995-02-11,ENTERPRISE,ENTERPRISE CONSUMER,5.047717365
1995-02-12,PRO EDITION,PRO ADMIN,8.245168322
1995-02-12,PRO EDITION,PRO DEVELOPER,13.741947203
1995-02-12,PRO EDITION,PRO CONSUMER,5.496778881
1995-02-12,ENTERPRISE,ENTERPRISE ADMIN,9.069096634
1995-02-12,ENTERPRISE,ENTERPRISE DEVELOPER,12.092128845
1995-02-12,ENTERPRISE,ENTERPRISE COLLABORATOR,6.046064422
1995-02-12,ENTERPRISE,ENTERPRISE CONSUMER,3.023032211
1995-02-13,PRO EDITION,PRO ADMIN,24.531920562
1995-02-13,PRO EDITION,PRO DEVELOPER,40.88653427
1995-02-13,PRO EDITION,PRO CONSUMER,16.354613708
1995-02-13,ENTERPRISE,ENTERPRISE ADMIN,26.983361589
1995-02-13,ENTERPRISE,ENTERPRISE DEVELOPER,35.977815452
1995-02-13,ENTERPRISE,ENTERPRISE COLLABORATOR,17.988907726
1995-02-13,ENTERPRISE,ENTERPRISE CONSUMER,8.994453863
1995-02-14,PRO EDITION,PRO ADMIN,20.231200048
1995-02-14,PRO EDITION,PRO DEVELOPER,33.718666747
1995-02-14,PRO EDITION,PRO CONSUMER,13.487466699
1995-02-14,ENTERPRISE,ENTERPRISE ADMIN,22.252875999
1995-02-14,ENTERPRISE,ENTERPRISE DEVELOPER,29.670501332
1995-02-14,ENTERPRISE,ENTERPRISE COLLABORATOR,14.835250666
1995-02-14,ENTERPRISE,ENTERPRISE CONSUMER,7.417625333
1995-02-15,PRO EDITION,PRO ADMIN,20.485680552
1995-02-15,PRO EDITION,PRO DEVELOPER,34.14280092
1995-02-15,PRO EDITION,PRO CONSUMER,13.657120368
1995-02-15,ENTERPRISE,ENTERPRISE ADMIN,22.532786389
1995-02-15,ENTERPRISE,ENTERPRISE DEVELOPER,30.043715185
1995-02-15,ENTERPRISE,ENTERPRISE COLLABORATOR,15.021857593
1995-02-15,ENTERPRISE,ENTERPRISE CONSUMER,7.510928796
1995-02-16,PRO EDITION,PRO ADMIN,17.406466457
1995-02-16,PRO EDITION,PRO DEVELOPER,29.010777428
1995-02-16,PRO EDITION,PRO CONSUMER,11.604310971
1995-02-16,ENTERPRISE,ENTERPRISE ADMIN,19.145870671
1995-02-16,ENTERPRISE,ENTERPRISE DEVELOPER,25.527827561
1995-02-16,ENTERPRISE,ENTERPRISE COLLABORATOR,12.763913781
1995-02-16,ENTERPRISE,ENTERPRISE CONSUMER,6.38195689
1995-02-17,PRO EDITION,PRO ADMIN,16.083167837
1995-02-17,PRO EDITION,PRO DEVELOPER,26.805279729
1995-02-17,PRO EDITION,PRO CONSUMER,10.722111891
1995-02-17,ENTERPRISE,ENTERPRISE ADMIN,17.690336643
1995-02-17,ENTERPRISE,ENTERPRISE DEVELOPER,23.587115524
1995-02-17,ENTERPRISE,ENTERPRISE COLLABORATOR,11.793557762
1995-02-17,ENTERPRISE,ENTERPRISE CONSUMER,5.896778881
1995-02-18,PRO EDITION,PRO ADMIN,17.63549891
1995-02-18,PRO EDITION,PRO DEVELOPER,29.392498184
1995-02-18,PRO EDITION,PRO CONSUMER,11.756999273
1995-02-18,ENTERPRISE,ENTERPRISE ADMIN,19.397790022
1995-02-18,ENTERPRISE,ENTERPRISE DEVELOPER,25.863720029
1995-02-18,ENTERPRISE,ENTERPRISE COLLABORATOR,12.931860015
1995-02-18,ENTERPRISE,ENTERPRISE CONSUMER,6.465930007
1995-02-19,PRO EDITION,PRO ADMIN,17.050193752
1995-02-19,PRO EDITION,PRO DEVELOPER,28.416989586
1995-02-19,PRO EDITION,PRO CONSUMER,11.366795834
1995-02-19,ENTERPRISE,ENTERPRISE ADMIN,18.753996125
1995-02-19,ENTERPRISE,ENTERPRISE DEVELOPER,25.005328167
1995-02-19,ENTERPRISE,ENTERPRISE COLLABORATOR,12.502664083
1995-02-19,ENTERPRISE,ENTERPRISE CONSUMER,6.251332042
1995-02-20,PRO EDITION,PRO ADMIN,19.442310487
1995-02-20,PRO EDITION,PRO DEVELOPER,32.403850811
1995-02-20,PRO EDITION,PRO CONSUMER,12.961540325
1995-02-20,ENTERPRISE,ENTERPRISE ADMIN,21.38515379
1995-02-20,ENTERPRISE,ENTERPRISE DEVELOPER,28.513538387
1995-02-20,ENTERPRISE,ENTERPRISE COLLABORATOR,14.256769194
1995-02-20,ENTERPRISE,ENTERPRISE CONSUMER,7.128384597
1995-02-21,PRO EDITION,PRO ADMIN,13.843739404
1995-02-21,PRO EDITION,PRO DEVELOPER,23.072899007
1995-02-21,PRO EDITION,PRO CONSUMER,9.229159603
1995-02-21,ENTERPRISE,ENTERPRISE ADMIN,15.227125212
1995-02-21,ENTERPRISE,ENTERPRISE DEVELOPER,20.302833616
1995-02-21,ENTERPRISE,ENTERPRISE COLLABORATOR,10.151416808
1995-02-21,ENTERPRISE,ENTERPRISE CONSUMER,5.075708404
1995-02-22,PRO EDITION,PRO ADMIN,9.899291596
1995-02-22,PRO EDITION,PRO DEVELOPER,16.498819327
1995-02-22,PRO EDITION,PRO CONSUMER,6.599527731
1995-02-22,ENTERPRISE,ENTERPRISE ADMIN,10.888514168
1995-02-22,ENTERPRISE,ENTERPRISE DEVELOPER,14.518018891
1995-02-22,ENTERPRISE,ENTERPRISE COLLABORATOR,7.259009445
1995-02-22,ENTERPRISE,ENTERPRISE CONSUMER,3.629504723
1995-02-23,PRO EDITION,PRO ADMIN,10.026531848
1995-02-23,PRO EDITION,PRO DEVELOPER,16.710886413
1995-02-23,PRO EDITION,PRO CONSUMER,6.684354565
1995-02-23,ENTERPRISE,ENTERPRISE ADMIN,11.028469363
1995-02-23,ENTERPRISE,ENTERPRISE DEVELOPER,14.704625817
1995-02-23,ENTERPRISE,ENTERPRISE COLLABORATOR,7.352312909
1995-02-23,ENTERPRISE,ENTERPRISE CONSUMER,3.676156454
1995-02-24,PRO EDITION,PRO ADMIN,15.955927585
1995-02-24,PRO EDITION,PRO DEVELOPER,26.593212642
1995-02-24,PRO EDITION,PRO CONSUMER,10.637285057
1995-02-24,ENTERPRISE,ENTERPRISE ADMIN,17.550381448
1995-02-24,ENTERPRISE,ENTERPRISE DEVELOPER,23.400508598
1995-02-24,ENTERPRISE,ENTERPRISE COLLABORATOR,11.700254299
1995-02-24,ENTERPRISE,ENTERPRISE CONSUMER,5.850127149
1995-02-25,PRO EDITION,PRO ADMIN,10.051979898
1995-02-25,PRO EDITION,PRO DEVELOPER,16.75329983
1995-02-25,PRO EDITION,PRO CONSUMER,6.701319932
1995-02-25,ENTERPRISE,ENTERPRISE ADMIN,11.056460402
1995-02-25,ENTERPRISE,ENTERPRISE DEVELOPER,14.741947203
1995-02-25,ENTERPRISE,ENTERPRISE COLLABORATOR,7.370973601
1995-02-25,ENTERPRISE,ENTERPRISE CONSUMER,3.685486801
1995-02-26,PRO EDITION,PRO ADMIN,16.413992492
1995-02-26,PRO EDITION,PRO DEVELOPER,27.356654154
1995-02-26,PRO EDITION,PRO CONSUMER,10.942661661
1995-02-26,ENTERPRISE,ENTERPRISE ADMIN,18.05422015
1995-02-26,ENTERPRISE,ENTERPRISE DEVELOPER,24.072293534
1995-02-26,ENTERPRISE,ENTERPRISE COLLABORATOR,12.036146767
1995-02-26,ENTERPRISE,ENTERPRISE CONSUMER,6.018073383
1995-02-27,PRO EDITION,PRO ADMIN,23.870271252
1995-02-27,PRO EDITION,PRO DEVELOPER,39.78378542
